System Id,System Name,Acronym,Installed In/Part of,Functional system,Type,Multiplicity,Instance Token,Description,Notes
SYS-HVDC,High Voltage DC Assembly,HVDC,NAC,ESS,Component,1,,"One HVDC assembly per nacelle, four in total; each holds twelve battery packs, one master BMS, one charge controller and the HVPDU","ESS is now a function, so the assembly is parented where it is installed. One per nacelle rather than four: the nacelle control bus addresses its packs as PACK-1..12 within NAC-{n}, which only closes if the twelve packs are nacelle-local. HVDC-2 informally means the assembly of NAC-2; no token is restated here."
SYS-HVPDU,High-Voltage Power Distribution Unit,HVPDU,HVDC,PDS,Component,1,,"One HVPDU per HVDC assembly, feeding the two motor controllers of the nacelle","Part of the HVDC assembly, but its function is distribution rather than storage, hence PDS. Installed in the engine bay (J1) while the packs sit in the aft nacelle (J4)."
SYS-IMD,Insulation Monitoring Device,IMD,HVPDU,PDS,Component,1,,One IMD per HVPDU,Working assumption
SYS-PACK,Battery Pack,PACK,HVDC,ESS,Component,12,PACK-{n},Twelve battery packs per HVDC assembly,Count corrected: the previous description said fourteen while the token list held twelve. Token uses {n} (unpadded; 10+ stay multi-digit).
SYS-BMU,Battery Management Unit,BMU,PACK,ESS,Controller,1,,Nominal pack monitoring and control,One per pack. Cell-level acquisition is internal to the pack and no longer modelled; SYS-SBMS removed.
SYS-MBMS,Master Battery Management System,MBMS,HVDC,ESS,Controller,1,,HVDC-level coordination and aircraft interface,"Separate LRU, one per HVDC assembly"
SYS-CHARGE,Charge Controller,CHGC,HVDC,ESS,Controller,1,,Charging protocol and command function,One charge controller per HVDC assembly
SYS-FUELBOOST,Fuel boost pump,F_B_PUMP,HPP,FUEL,Component,1,,Aircraft side fuel boost pump,"Even if fuel pump are per tank, there is one dedicated to each nacelle"
SYS-LVPDU,Low Voltage Power Distribution Unit,LVPDU,AC,PDS,Component,3,LVPDU_AFT;LVPDU_CENTER;LVPDU_FWD,,
SYS-DCDC,Direct Current to Direct Current converter,DCDC,HVPDU,PDS,Component,1,,,
SYS-LVBAT,Low voltage battery,LVBAT,LVPDU,PDS,Component,1,,,
