Signal Id,Physical Id,Signal Name,Signal Role,Abbreviation,Physical System,Signal Owner,Repeated Per,Related to,Endpoint Name,Connection Type,Interface Type,Data Type,Unit,Minimum,Maximum,Derivation,Notes,On aircraft ?,On FND ?,On Sim ?
SIG-019,PHYS-050,Fuel Inlet Pressure,Measurement,FIP,FCU,EPECS,,,Fuel Inlet Pressure,Pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-020,PHYS-051,Metered Fuel Flow,Measurement,FFM,FCU,EPECS,,,Fuel Flow Meter,Flow meter,Analog,,,,,,,Yes,TBD,TBD
SIG-021,PHYS-052,Fuel Filter Differential Pressure,Measurement,dP_fuel,FCU,EPECS,,,Fuel Filter Differential Pressure,Differential pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-022,PHYS-040,Turbine Torque,Measurement,Q_TE,TURB,HICU,,,Turbine Torque,Torque sensor at gearbox,Analog,,,,,,,Yes,TBD,TBD
SIG-023,PHYS-041,Gas Generator Speed,Measurement,Ng,TURB,EPECS,,,Gas Generator Speed,Speed pickup,Analog,,,,,,,Yes,TBD,TBD
SIG-024,PHYS-042,Main Engine Oil Pressure,Measurement,MOP,TURB,EPECS,,,Main Engine Oil Pressure,Pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-025,PHYS-043,Compressor Output Pressure,Measurement,P3,TURB,EPECS,,,Compressor Output Pressure,Pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-026,PHYS-044,Engine Inlet Temperature,Measurement,T1,TURB,EPECS,,,Engine Inlet Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-027,PHYS-045,Inter-Turbine Temperature,Measurement,T5_ITT,TURB,EPECS,,,Inter-Turbine Temperature,Thermocouple,Analog,,,,,,,Yes,TBD,TBD
SIG-028,PHYS-046,Main Engine Oil Temperature,Measurement,MOT,TURB,EPECS,,,Main Engine Oil Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-029,PHYS-047,AGB Chip Detection,Measurement,CHIP_AGB,TURB,EPECS,,,AGB Chip Detection,Magnetic detector,Discrete,,,,,,,Yes,TBD,TBD
SIG-030,PHYS-048,Engine Oil Level,Measurement,OIL_LEVEL,TURB,EPECS,,,Engine Oil Level,Level detector,Discrete,,,,,,,Yes,TBD,TBD
SIG-031,PHYS-060,Combining Gearbox Oil Pressure,Measurement,MOP_GBX,GBX,EPECS,,,Combining Gearbox Oil Pressure,Pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-032,PHYS-061,Combining Gearbox Oil Temperature,Measurement,MOT_GBX,GBX,EPECS,,,Combining Gearbox Oil Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-033,PHYS-062,Combining Gearbox Chip Detection,Measurement,CHIP_GBX,GBX,EPECS,,,Combining Gearbox Chip Detection,Magnetic detector,Discrete,,,,,,,Yes,TBD,TBD
SIG-034,PHYS-063,Combining Gearbox Oil Filter Differential Pressure,Measurement,dP_GBX,GBX,EPECS,,,Combining Gearbox Oil Filter Differential Pressure,Differential pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-035,PHYS-070,HVPDU Bus Current,Measurement,I_HV,HVPDU,HVPDU,,,HVPDU Bus Current,Current sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-036,PHYS-071,HVPDU Bus Voltage,Measurement,V_HV,HVPDU,HVPDU,,,HVPDU Bus Voltage,Voltage sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-037,PHYS-072,HV Isolation Resistance,Measurement,R_ISO,HVPDU,IMD,,,HV Isolation Resistance,Insulation monitoring device,Discrete,,,,,,,Yes,TBD,TBD
SIG-038,PHYS-080,Battery Pack Current,Measurement,I_PACK,PACK,BMU,,,Battery Pack Current - Nominal Path,Current sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-039,PHYS-081,Battery Pack Terminal Voltage,Measurement,V_PACK,PACK,BMU,,,Battery Pack Terminal Voltage,Voltage sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-040,PHYS-082,Battery Pack Temperature,Measurement,T_PACK,PACK,BMU,,,Battery Pack Temperature,Temperature sensor,Analog,,,,,,Cell-level acquisition is internal to the pack and not modelled in this ICD; the BMU aggregates and reports pack temperature on the nacelle control bus.,Yes,TBD,TBD
SIG-041,PHYS-086,Aircraft Pitch Angle,Measurement,PITCH,IRU,IRU,,,Aircraft Pitch Angle,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-042,PHYS-087,Aircraft Roll Angle,Measurement,ROLL,IRU,IRU,,,Aircraft Roll Angle,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-043,PHYS-088,Aircraft Heading Angle,Measurement,HDG,IRU,IRU,,,Aircraft Heading Angle,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-044,PHYS-089,Aircraft Longitudinal Acceleration,Measurement,Ax,IRU,IRU,,,Aircraft Longitudinal Acceleration,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-045,PHYS-090,Aircraft Lateral Acceleration,Measurement,Ay,IRU,IRU,,,Aircraft Lateral Acceleration,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-046,PHYS-091,Aircraft Normal Acceleration,Measurement,Az,IRU,IRU,,,Aircraft Normal Acceleration,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-047,PHYS-092,Aircraft Pitch Rate,Measurement,q,IRU,IRU,,,Aircraft Pitch Rate,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-048,PHYS-093,Aircraft Roll Rate,Measurement,p,IRU,IRU,,,Aircraft Roll Rate,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-049,PHYS-094,Aircraft Yaw Rate,Measurement,r,IRU,IRU,,,Aircraft Yaw Rate,IRU,Digital,,,,,,,TBD,TBD,TBD
SIG-050,PHYS-103,IPTMS Loop 1 Pump Discharge Pressure,Measurement,IPTMS_L1_PUMP_P,IPTMS,IPTMS,,,IPTMS Loop 1 Pump Discharge Pressure,Pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-051,PHYS-104,IPTMS Loop 1 Coolant Supply Temperature,Measurement,IPTMS_L1_T_SUP,IPTMS,IPTMS,,,IPTMS Loop 1 Coolant Supply Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-052,PHYS-105,IPTMS Loop 1 Coolant Return Temperature,Measurement,IPTMS_L1_T_RET,IPTMS,IPTMS,,,IPTMS Loop 1 Coolant Return Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-053,PHYS-106,IPTMS Loop 1 TBV Position Feedback,Measurement,IPTMS_L1_TBV_POS,IPTMS,IPTMS,,,IPTMS Loop 1 TBV Position Feedback,Position sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-054,PHYS-107,IPTMS Loop 2 Pump Discharge Pressure,Measurement,IPTMS_L2_PUMP_P,IPTMS,IPTMS,,,IPTMS Loop 2 Pump Discharge Pressure,Pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-055,PHYS-108,IPTMS Loop 2 Coolant Supply Temperature,Measurement,IPTMS_L2_T_SUP,IPTMS,IPTMS,,,IPTMS Loop 2 Coolant Supply Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-056,PHYS-109,IPTMS Loop 2 Coolant Return Temperature,Measurement,IPTMS_L2_T_RET,IPTMS,IPTMS,,,IPTMS Loop 2 Coolant Return Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-057,PHYS-110,IPTMS Loop 2 TBV Position Feedback,Measurement,IPTMS_L2_TBV_POS,IPTMS,IPTMS,,,IPTMS Loop 2 TBV Position Feedback,Position sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-058,PHYS-111,IPTMS Cross-Loop TBV Position Feedback,Measurement,IPTMS_XLOOP_TBV_POS,IPTMS,IPTMS,,,IPTMS Cross-Loop TBV Position Feedback,Position sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-059,PHYS-112,EMC Status / Fault Word,Measurement,EMC_STAT,EMC,EMC,,,EMC Status / Fault Word,Digital status word,Digital,,,,,,,Yes,TBD,TBD
SIG-060,PHYS-113,EMC Inverter Temperature,Measurement,EMC_T_INV,EMC,EMC,,,EMC Inverter Temperature,Temperature sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-061,PHYS-114,Main Engine Oil Chip Detection,Measurement,CHIP_MEO,TURB,EPECS,,,Main Engine Oil Chip Detection,Magnetic detector,Discrete,,,,,,,Yes,TBD,TBD
SIG-062,PHYS-115,Turbine Oil Chip Maintenance Flag,Measurement,CHIP_MX_FLAG,EPECS,EPECS,,,Turbine Oil Chip Maintenance Flag,Derived status word,Digital,,,,,,Direct path: EPECS publishes on NAC_CTRL. Further relay HICU->FCC;DCU is on HICU_CTRL bus-definition rows only (same Signal Id).,Yes,TBD,TBD
SIG-063,PHYS-117,FCU Metering Valve Differential Pressure,Measurement,dP_FCU,FCU,EPECS,,,FCU Metering Valve Differential Pressure,Differential pressure sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-064,PHYS-121,EPECS Status / Fault Word,Measurement,EPECS_STAT,EPECS,EPECS,,,EPECS Status / Fault Word,Digital status word,Digital,,,,,,,Yes,TBD,TBD
SIG-065,PHYS-124,Nacelle ON/OFF Switch,Measurement,NAC_ON_OFF,CKPT,ICM,NAC,,Nacelle ON/OFF Switch Acquisition,Discrete switch,Discrete,,,,,,Relayed by ICM to FCC and BPM alongside the mode selector (SENS-017).,Yes,TBD,TBD
SIG-066,PHYS-014,Electric Motor Stop Command,Command,EM_STOP,CKPT,CKPT,NAC;EM,,Electric Motor Stop Command,Discrete command,Discrete,,,,,,Per-motor emergency/stop path,Yes,TBD,TBD
SIG-067,PHYS-013,Turbine Override Start Command,Command,TURB_OVRD_START,CKPT,CKPT,NAC,,Turbine Override Start Command,Discrete command,Discrete,,,,,,Per-nacelle override,Yes,TBD,TBD
SIG-068,PHYS-125,Battery Pack Contactor Status,Measurement,PACK_CONT_STAT,PACK,BMU,,,Battery Pack Contactor Status,Discrete / digital status,Digital,,,,,,Reported by the BMU on NAC_CTRL; distinct from CMD-060 command path.,Yes,TBD,TBD
SIG-069,PHYS-126,True Airspeed,Measurement,TAS,ADC,ADC,,,Calibrated Airspeed,Pitot,Analog,,,,,,,,,
SIG-070,PHYS-021,Electric Motor Torque Command,Command,EM_TqCmd,EMC,FCC,NAC;EM,SIG-001;SIG-002;SIG-003;SIG-004,Electric Motor Torque Command,Digital setpoint command,Digital,,,,,,HICU distributes aircraft-level commands to each EMC;Logical motor torque command from FCC to EMC. HICU relay hops are allocated only in the bus-definition tabs.,Yes,TBD,TBD
SIG-071,PHYS-033,Aircraft Fuel Boost Pump Command,Command,FUEL_BOOST,F_B_PUMP,EPECS,,SIG-019,Aircraft Fuel Boost Pump Command,Discrete effector command,Discrete,,,,,,Automatic actuation uses fuel inlet pressure,Yes,TBD,TBD
SIG-072,PHYS-034,PCU Metering Valve Command,Command,PCU_METER,PCU,EPECS,,SIG-015;SIG-016;SIG-017,PCU Metering Valve Command,Analog effector command,Discrete,,,,,,,Yes,TBD,TBD
SIG-073,PHYS-035,PCU Feathering Valve Command,Command,PCU_FEATHER,PCU,EPECS,,SIG-015;SIG-016;SIG-017,PCU Feathering Valve Command,Effector command,Discrete,,,,,,,Yes,TBD,TBD
SIG-074,PHYS-036,Auxiliary Feathering Pump Command,Command,AUX_FEATHER,PROPELLER,EPECS,,SIG-015;SIG-016,Auxiliary Feathering Pump Command,Discrete effector command,Discrete,,,,,,Independent feathering means,Yes,TBD,TBD
SIG-075,PHYS-053,Turbine Starter Command,Command,STARTER_CMD,TURB,EPECS,,SIG-023,Turbine Starter Command,Discrete effector command,Discrete,,,,,,,Yes,TBD,TBD
SIG-076,PHYS-054,Ignition Command,Command,IGN_CMD,TURB,EPECS,,,Ignition Command,Discrete effector command,Discrete,,,,,,,Yes,TBD,TBD
SIG-077,PHYS-055,FCU Fuel Metering Command,Command,FCU_METER,FCU,EPECS,,SIG-022;SIG-023;SIG-025;SIG-027,FCU Fuel Metering Command,Analog effector command,Discrete,,,,,,,Yes,TBD,TBD
SIG-078,PHYS-056,FCU Shutdown Command,Command,FCU_SD,FCU,EPECS,,,FCU Shutdown Command,Discrete effector command,Discrete,,,,,,,Yes,TBD,TBD
SIG-079,PHYS-073,HVPDU Contactor Command,Command,HV_CONT_CMD,HVPDU,HICU,,SIG-035;SIG-036;SIG-037,HVPDU Contactor Command,Digital / discrete command,Digital,,,,,,Aircraft-level command relayed by HICU on the nacelle bus; local protection remains in the HVPDU.,Yes,TBD,TBD
SIG-080,PHYS-074,HVPDU Pyrofuse Command,Command,HV_PYRO_CMD,HVPDU,HVPDU,,SIG-035;SIG-036;SIG-037,HVPDU Pyrofuse Command,Protection command,Discrete,,,,,,Confirmed HVPDU/cable protection layer,Yes,TBD,TBD
SIG-081,PHYS-075,HVPDU Load / SSPC Command,Command,HV_LOAD_CMD,HVPDU,HICU,,SIG-035;SIG-036,HVPDU Load / SSPC Command,Digital / discrete command,Digital,,,,,,Aircraft-level command relayed by HICU on the nacelle bus; local protection remains in the HVPDU.,Yes,TBD,TBD
SIG-082,PHYS-083,Battery Pack Contactor Command,Command,PACK_CONT_CMD,PACK,BMU,,SIG-038;SIG-039,Battery Pack Contactor Command,Discrete effector command,Discrete,,,,,,HICU provides the command request and authority; the BMU executes the local contactor effector path,Yes,TBD,TBD
SIG-083,PHYS-098,IPTMS Loop 1 Coolant Pump Command,Command,IPTMS_L1_PUMP_CMD,IPTMS,IPTMS,,,IPTMS Loop 1 Coolant Pump Command,Analog effector command,Discrete,,,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-084,PHYS-099,IPTMS Loop 1 Thermal Balancing Valve Command,Command,IPTMS_L1_TBV_CMD,IPTMS,IPTMS,,,IPTMS Loop 1 Thermal Balancing Valve Command,Analog effector command,Discrete,,,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-085,PHYS-100,IPTMS Loop 2 Coolant Pump Command,Command,IPTMS_L2_PUMP_CMD,IPTMS,IPTMS,,,IPTMS Loop 2 Coolant Pump Command,Analog effector command,Discrete,,,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-086,PHYS-101,IPTMS Loop 2 Thermal Balancing Valve Command,Command,IPTMS_L2_TBV_CMD,IPTMS,IPTMS,,,IPTMS Loop 2 Thermal Balancing Valve Command,Analog effector command,Discrete,,,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-087,PHYS-102,IPTMS Cross-Loop Thermal Balancing Valve Command,Command,IPTMS_XLOOP_TBV_CMD,IPTMS,IPTMS,,,IPTMS Cross-Loop Thermal Balancing Valve Command,Analog effector command,Discrete,,,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-088,PHYS-116,Propeller Heating Command,Command,PROP_HEAT_CMD,PCU,HICU,,,Propeller Heating Command,Discrete effector command,Digital,,,,,,Propeller/spinner anti-ice request relayed by HICU from the aircraft-level ice-protection system; bypasses EPECS unlike the other PCU effector commands (CMD-020/021).,Yes,TBD,TBD
SIG-089,PHYS-119,Backup turbine torque command,Command,BKUP_Tq_Cmd,HICU,BPM,,,Backup Turbine Torque Command,Analog / Digital,Digital,,,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-090,PHYS-120,Backup Propeller Speed Command,Command,BKUP_Np_Cmd,HICU,BPM,,,Backup Propeller Speed Command,Analog / Digital,Digital,,,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-091,PHYS-122,Backup electric motor 1 torque command,Command,BKUP_Tq_Cmd,HICU,BPM,,,Backup Electric Engine 1 Torque Command,Analog / Digital,Digital,,,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-092,PHYS-123,Backup electric motor 2 torque command,Command,BKUP_Tq_Cmd,HICU,BPM,,,Backup Electric Engine 2 Torque Command,Analog / Digital,Digital,,,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-093,PHYS-095,Turbine Torque Command,Command,TE_TqCmd,EPECS,FCC,,SIG-022,Turbine Torque Target (FCC to HICU),Digital setpoint command,Digital,,,,,,First hop of the FCC power-management path; CMD-004 relays the same target onward to EPECS.;Logical turbine torque command from FCC to EPECS. HICU relay hops are allocated only in the bus-definition tabs.,Yes,TBD,TBD
SIG-097,PHYS-118,Propeller Speed Command,Command,Np_Cmd,EPECS,FCC,,SIG-017,Propeller Speed Target (HICU to EPECS),Digital setpoint command,Digital,,,,,,Second hop of the same target; EPECS drives the PCU metering valve (CMD-020) to meet it.;Logical propeller speed command from FCC to EPECS. HICU relay hops are allocated only in the bus-definition tabs.,Yes,TBD,TBD
SIG-098,PHYS-010,Turbine Run Discrete,Command,TURB_RUN_CMD,EPECS,FCC,,SIG-023,Turbine Run Enable (FCC to HICU),Digital discrete command,Digital,,,,,,FCC-computed run enable from the mode selector (PHYS-006) and the nacelle ON/OFF switch (PHYS-124); CMD-065 relays it onward.;Logical turbine run command from FCC to EPECS. HICU relay hops are allocated only in the bus-definition tabs.,Yes,TBD,TBD
SIG-100,PHYS-011,Turbine Shutdown Discrete,Command,TURB_SHUTDOWN_CMD,EPECS,FCC,,SIG-023,Turbine Shutdown Enable (FCC to HICU),Digital discrete command,Digital,,,,,,FCC-computed shutdown enable from the mode selector (PHYS-006) and the nacelle ON/OFF switch (PHYS-124); CMD-067 relays it onward.;Logical turbine shutdown command from FCC to EPECS. HICU relay hops are allocated only in the bus-definition tabs.,Yes,TBD,TBD
SIG-102,PHYS-096,IPTMS Coolant Target Temperature,Command,IPTMS_TGT_T,IPTMS,HICU,,SIG-051;SIG-052;SIG-055;SIG-056,IPTMS Coolant Target Temperature Command,Digital setpoint command,Digital,,,,,,HICU-issued setpoint; IPTMS closes the loop on its own pump and valve effectors (CMD-007 to CMD-012).,Yes,TBD,TBD
SIG-103,PHYS-097,IPTMS Pre-conditioning Command,Command,IPTMS_PRECOND,IPTMS,HICU,,,IPTMS Pre-conditioning Command,Digital discrete command,Digital,,,,,,Ground and pre-flight thermal pre-conditioning request issued by HICU.,Yes,TBD,TBD
SIG-104,PHYS-003,Landing Gear Deploy Handle,Measurement,LDG_HANDLE,CKPT,ICM,,,Landing Gear Deploy Handle,,Discrete,,,,,,Single lever with discrete position,Yes,TBD,TBD
SIG-105,PHYS-004,Landing Gear Alternate Deploy Handle,Measurement,LDG_ALT,CKPT,ICM,,,Landing Gear Alternate Deploy Handle,,Discrete,,,,,,Alternate lever to deploy the landing gear,Yes,TBD,TBD
SIG-106,PHYS-005,Landing Gear Steering Handle,Measurement,STEER,CKPT,ICM,,,Landing Gear Steering Handle,,Analog,,,,,,Tiler,Yes,TBD,TBD
SIG-107,PHYS-007,Turbine Maintenance Mode Request,Measurement,MAINT_MODE,CKPT,EPECS,NAC,,Turbine Maintenance Mode Request,,Discrete,,,,,,Cockpit or GSE origin TBD,Yes,TBD,TBD
SIG-108,PHYS-008,Maintenance Feather Request,Command,MAINT_FEATHER,EPECS,CKPT,NAC,,Maintenance Feather Request,,Discrete,,,,,,Cockpit or GSE origin TBD,Yes,TBD,TBD
SIG-109,PHYS-009,Turbine Start Switch,Command,START_SW,CKPT,EPECS,NAC,,Turbine Start Switch,,Discrete,,,,,,,Yes,TBD,TBD
SIG-110,PHYS-012,Turbine Continuous Ignition,Command,CONT_IGN,CKPT,EPECS,NAC,,Turbine Continuous Ignition,,Discrete,,,,,,,Yes,TBD,TBD
SIG-111,PHYS-027,Electric Motor Controller 28VDC Supply,Power,28V_EMC,EMC,LVPDU,,,Electric Motor Controller 28VDC Supply,28V,Power,,,,,,,Yes,TBD,TBD
SIG-112,PHYS-057,EPECS 28VDC Supply,Power,28V_EPECS,EPECS,LVPDU,,,EPECS 28VDC Supply,28V,Power,,,,,,,Yes,TBD,TBD
SIG-113,PHYS-084,Battery Pack Pyrofuse Command,Command,PACK_PYRO_CMD,PACK,PACK,,,Battery Pack Pyrofuse Command,,Discrete,,,,,,Pack protection layer; separate from HVPDU/cable pyrofuse. Command authority TBD -- an independent critical protection path is not yet part of the architecture.,Yes,TBD,TBD
SIG-114,PHYS-085,Battery Charging Inhibit,Measurement,CHG_INHIBIT,,PACK,,,Battery Charging Inhibit,,Discrete,,,,,,Command authority TBD -- an independent critical protection path is not yet part of the architecture.,Yes,TBD,TBD
SIG-115,PHYS-127,Calibrated Airspeed,Measurement,CAS,ADC,ADC,,,Calibrated Airspeed,,Analog,,,,,,,,,
SIG-116,,Per-nacelle Power Allocation,Computed,,,FCC,NAC,SIG-126;SIG-118,,,Digital,,,,,"Power-management split of the total demand across the four nacelles, from the energy strategy and the reported nacelle capability.",,Yes,TBD,TBD
SIG-117,,TOGA Activation,Computed,,,FCC,,SIG-007;SIG-010,,,Digital,,,,,Take-off / go-around detection from the consolidated power lever position.,,Yes,TBD,TBD
SIG-118,,Nacelle Status and Available Power,Computed,,,HICU,,SIG-059;SIG-064;SIG-123,,,Digital,,,,,"Nacelle capability and health consolidated from the EMC, EPECS and ESS reports arriving on the nacelle bus.","Reported on HICU_CTRL to the FCC and DCU, and again on the aircraft backbone; both bus rows carry this same identifier.",Yes,TBD,TBD
SIG-119,,Active Rating Reference,Computed,,,HICU,,SIG-014,,,Digital,,,,,"Rating selected for the current phase, derived from the turbine mode selector and the FCC power-management state.",,Yes,TBD,TBD
SIG-120,,Propulsion Operating Mode,Computed,,,HICU,,SIG-014,,,Digital,,,,,"Hybrid operating mode issued to EPECS, derived from the mode selector and the FCC energy strategy.",,Yes,TBD,TBD
SIG-121,,Synchrophasing Command,Computed,,,HICU,,SIG-017,,,Digital,,,,,Propeller phase alignment request computed from the propeller speed and phase feedback of the nacelles.,,Yes,TBD,TBD
SIG-122,,Pack Status and Operating Limits,Computed,,,BMU,,SIG-038;SIG-039;SIG-040;SIG-068,,,Digital,,,,,"State of charge, state of health and instantaneous current and power limits computed by the pack BMU from its own measurements.",,Yes,TBD,TBD
SIG-123,,ESS Summary and Operating Limits,Computed,,,MBMS,,SIG-122,,,Digital,,,,,Assembly-level state and limits consolidated by the MBMS from the twelve pack reports.,,Yes,TBD,TBD
SIG-124,,IPTMS Status and Operating Limits,Computed,,,IPTMS,,SIG-050;SIG-051;SIG-052;SIG-053;SIG-054;SIG-055;SIG-056;SIG-057;SIG-058,,,Digital,,,,,Cooling capability and health consolidated from both loop sensor sets.,,Yes,TBD,TBD
SIG-125,,Mission Definition and Constraints,Computed,,,FMS,,,,,Digital,,,,,"Flight plan, phase and performance constraints computed by the FMS.",,Yes,TBD,TBD
SIG-126,,Energy and Hybridization Strategy,Computed,,,MMS,,SIG-125;SIG-129;SIG-128,,,Digital,,,,,"Operating mode and hybridization profile computed by the MMS from the mission, the stored energy state and the fuel available.",,Yes,TBD,TBD
SIG-127,,Environmental Conditions,Computed,,,ADC,,,,,Digital,,,,,"Air data and weather picture computed by the ADC from their own probes, which are not modelled in this ICD.",,Yes,TBD,TBD
SIG-128,,Total Fuel Available,Computed,,,TBD,,,,,Digital,,,,,Aircraft total fuel quantity; the producing LRU is still TBD.,"Fuel-quantity acquisition is not yet modelled, so the inputs are unknown.",Yes,TBD,TBD
SIG-129,,ESS State and Discharge Capability,Computed,,,MBMS,,SIG-123,,,Digital,,,,,Aircraft-level stored energy state and discharge capability reported to the FCC.,,Yes,TBD,TBD
SIG-130,,HVPDU Actual Power,Computed,,,HVPDU,,SIG-035;SIG-036,,,Digital,,,,,Delivered power computed by the HVPDU from its own bus current and voltage measurements.,,Yes,TBD,TBD
SIG-131,,BTMS Temperature Target,Computed,,,FCC,,SIG-126,,,Digital,,,,,Battery thermal target issued from the mission and energy strategy.,Aircraft-level counterpart of the nacelle setpoint PHYS-096; written by FMS and FCC to BTMS and IPTMS.,Yes,TBD,TBD
SIG-132,,TMS Coolant Status,Computed,,,BTMS;IPTMS,,SIG-124,,,Digital,,,,,Combined thermal-management capability and health reported to the FCC.,,Yes,TBD,TBD
SIG-133,,Total Energy Available and Hybridization Mode,Computed,,,FCC,,SIG-126;SIG-129;SIG-128,,,Digital,,,,,Energy summary the FCC broadcasts to avionics for display and mission re-planning.,"Low-integrity, informational only.",Yes,TBD,TBD
SIG-134,,FCC Status,Computed,,,FCC,,,,,Digital,,,,,FCC health and mode word broadcast to avionics.,,Yes,TBD,TBD
SIG-135,,Autothrust Command,Computed,,,FCC,,SIG-117,,,Digital,,,,,Autothrust engagement and target exchanged between FCC channels.,,Yes,TBD,TBD
